57719682	57719682
210407588	210407588
226085079	226085079
59714165	59714165
54457842	54457842
130507097	130507097
128899290	128899290
42909134	42909134
72570318	72570318
216783091	216783091
241804175	241804175
54786148	54786148
162816961	162816961
130083707	130083707
54458109	54458109
75988356	75988356
203297311	203297311
130921663	130921663
60397766	60397766
5486268	5486268
235099089	235099089
4171594	4171594
6321364	6321364
201632478	201632478
130958711	130958711
201656308	201656308
4195569	4195569
130898775	130898775
10995060	10995060
59864749	59864749
159238744	159238744
130185342	130185342
54457737	54457737
68748528	68748528
90085550	90085550
131561251	131561251
60119508	60119508
133469193	133469193
128846838	128846838
4577365	4577365
72755647	72755647
127256977	127256977
55637719	55637719
207277547	207277547
133403793	133403793
112456811	112456811
23850106	23850106
234908514	234908514
55047721	55047721
130757336	130757336
7482013	7482013
167513456	167513456
150323558	150323558
132080258	132080258
159140445	159140445
122273909	122273909
132912961	132912961
73849124	73849124
157916636	157916636
16773677	16773677
70368784	70368784
125819597	125819597
106254483	106254483
130905306	130905306
131561080	131561080
11206221	11206221
62004353	62004353
164570052	164570052
33726655	33726655
68748506	68748506
132321481	132321481
65121324	65121324
148891668	148891668
21463858	21463858
150017204	150017204
38230110	38230110
234908226	234908226
65387096	65387096
4191180	4191180
200119987	200119987
35320667	35320667
132200182	132200182
155534509	155534509
130124378	130124378
131402564	131402564
132448040	132448040
56337165	56337165
131034863	131034863
59602012	59602012
131214173	131214173
208444590	208444590
159046391	159046391
132016192	132016192
1340351	1340351
157916687	157916687
133403211	133403211
129786998	129786998
74891361	74891361
156007787	156007787
75691297	75691297
60470081	60470081
11637533	11637533
133461875	133461875
131214209	131214209
130333815	130333815
102795843	102795843
11847111	11847111
20257178	20257178
159409207	159409207
54576415	54576415
2815015	2815015
152506842	152506842
126940557	126940557
112692270	112692270
150477925	150477925
154796431	154796431
55053391	55053391
33299147	33299147
130892525	130892525
131159658	131159658
77005666	77005666
7501308	7501308
22926601	22926601
45645204	45645204
58115012	58115012
58456976	58456976
54864697	54864697
119513106	119513106
40437301	40437301
47467221	47467221
93718680	93718680
206544411	206544411
38423760	38423760
132745701	132745701
29960982	29960982
55391421	55391421
1607922	1607922
129180429	129180429
44754714	44754714
