id	data_format	cases	access	file_name	submitter_id	data_category	type	file_size	created_datetime	md5sum	updated_datetime	file_id	data_type	state	experimental_strategy	version	data_release	project	analysis_id	analysis_state	analysis_submitter_id	analysis_workflow_link	analysis_workflow_type	sample_type	is_ffpe	cases.submitter_id	sample.submitter_id
40521a21-f377-4bf4-a9f4-abbac0b6e61d	TXT	TCGA-E2-A1LH-01A-11R-A14C-13	open	d77e712b-0dcd-4922-9f83-b0bdc87675fc.mirbase21.isoforms.quantification.txt	mirna_swap_dr11_440_MirnaExpression839ec1ce-4aaa-4313-8500-75a7b514102a_isoform_profiling	Transcriptome Profiling	mirna_expression	574031	2018-03-20T01:15:53.593653-05:00	1586a60afb1a8fba999c6b0767c5af4b	2018-09-06T13:49:20.245333-05:00	40521a21-f377-4bf4-a9f4-abbac0b6e61d	Isoform Expression Quantification	released	miRNA-Seq	1	12.0 - 35.0	TCGA-BRCA	200b10e7-7d92-403e-9059-ae8d972e263c	released	mirna_swap_dr11_440_MirnaExpressionWorkflow15cdf979-b8b8-4c9f-b422-e8a4a8fa3d00_pipeline:mirnaseq0.0.1	https://github.com/NCI-GDC/gdc-dnaseq-cwl/blob/gdc-active-submission/workflows/mirnaseq/runner.cwl	BCGSC miRNA Profiling	Primary Tumor	NA	TCGA-E2-A1LH	TCGA-E2-A1LH-01A
e240ab26-b632-4afa-b5c4-f4b6782fe80e	TXT	TCGA-A2-A0EU-01A-22R-A057-13	open	444f3c9d-5a59-4ca7-9f74-7bcac7dfa1b1.mirbase21.isoforms.quantification.txt	mirna_swap_dr11_809_MirnaExpression4d52d252-9738-4417-b230-acdfc4901198_isoform_profiling	Transcriptome Profiling	mirna_expression	275503	2018-03-20T02:37:34.863125-05:00	51f18e963946a0c6efeec740192b30ed	2018-09-06T13:49:20.245333-05:00	e240ab26-b632-4afa-b5c4-f4b6782fe80e	Isoform Expression Quantification	released	miRNA-Seq	1	12.0 - 35.0	TCGA-BRCA	df1a4c88-a0dc-4582-9a40-a3dab119be86	released	mirna_swap_dr11_809_MirnaExpressionWorkflow3eb29600-f338-4610-b182-bea6ccbe06f5_pipeline:mirnaseq0.0.1	https://github.com/NCI-GDC/gdc-dnaseq-cwl/blob/gdc-active-submission/workflows/mirnaseq/runner.cwl	BCGSC miRNA Profiling	Primary Tumor	NA	TCGA-A2-A0EU	TCGA-A2-A0EU-01A
1544c0c4-dd72-422e-921e-6c893ebd3adc	TXT	TCGA-AO-A0JB-01A-11R-A057-13	open	f51488b5-c09e-4f81-b255-3f59def8ef1d.mirbase21.isoforms.quantification.txt	mirna_swap_dr11_1095_MirnaExpression1c88e4a7-236a-425d-b07c-1d0540c021a1_isoform_profiling	Transcriptome Profiling	mirna_expression	366204	2018-03-20T04:07:52.961255-05:00	d7c83e65f8913e5975560d326b510835	2018-09-06T13:49:20.245333-05:00	1544c0c4-dd72-422e-921e-6c893ebd3adc	Isoform Expression Quantification	released	miRNA-Seq	1	12.0 - 35.0	TCGA-BRCA	63015157-0771-4299-bf92-3f31d1769f66	released	mirna_swap_dr11_1095_MirnaExpressionWorkflow27444cf4-6500-4760-9826-c514b8524a28_pipeline:mirnaseq0.0.1	https://github.com/NCI-GDC/gdc-dnaseq-cwl/blob/gdc-active-submission/workflows/mirnaseq/runner.cwl	BCGSC miRNA Profiling	Primary Tumor	NA	TCGA-AO-A0JB	TCGA-AO-A0JB-01A
5853bc8c-bebc-4422-8996-5011d18ccbf2	TXT	TCGA-E9-A5UO-01A-11R-A28I-13	open	cf72c0cf-6136-4a13-8855-1cadcdf6ecc1.mirbase21.isoforms.quantification.txt	mirna_swap_dr11_120_MirnaExpressionac88d2ca-21b1-45d2-be87-db64dbd8a85f_isoform_profiling	Transcriptome Profiling	mirna_expression	357158	2018-03-20T00:53:29.024823-05:00	01283986c3b4c21a0e4c6762553e805a	2018-09-06T13:49:20.245333-05:00	5853bc8c-bebc-4422-8996-5011d18ccbf2	Isoform Expression Quantification	released	miRNA-Seq	1	12.0 - 35.0	TCGA-BRCA	d864f5b6-9230-49a0-b269-88b85a37fa3e	released	mirna_swap_dr11_120_MirnaExpressionWorkflow9dea7ca7-c70e-4780-8eda-1a7bb6f3d4cf_pipeline:mirnaseq0.0.1	https://github.com/NCI-GDC/gdc-dnaseq-cwl/blob/gdc-active-submission/workflows/mirnaseq/runner.cwl	BCGSC miRNA Profiling	Primary Tumor	NA	TCGA-E9-A5UO	TCGA-E9-A5UO-01A
267475fc-e216-4405-aad8-b8b4cb584ccf	TXT	TCGA-AR-A5QN-01A-12R-A28I-13	open	20a8566a-ba3f-4bf2-906f-321d25a0f055.mirbase21.isoforms.quantification.txt	mirna_swap_dr11_106_MirnaExpressionc8ff43b4-03b9-4d65-a407-ea696e86b655_isoform_profiling	Transcriptome Profiling	mirna_expression	380800	2018-03-20T00:53:29.024823-05:00	d9a385f57552f360344c13967d4328dd	2018-09-06T13:49:20.245333-05:00	267475fc-e216-4405-aad8-b8b4cb584ccf	Isoform Expression Quantification	released	miRNA-Seq	1	12.0 - 35.0	TCGA-BRCA	1e6106f2-9031-460b-86e6-02be6e8bfece	released	mirna_swap_dr11_106_MirnaExpressionWorkflow1c409be4-b9f6-4ab4-81fa-55f87ab2725a_pipeline:mirnaseq0.0.1	https://github.com/NCI-GDC/gdc-dnaseq-cwl/blob/gdc-active-submission/workflows/mirnaseq/runner.cwl	BCGSC miRNA Profiling	Primary Tumor	NA	TCGA-AR-A5QN	TCGA-AR-A5QN-01A
e262b2c5-617c-4610-9b03-eb8d0914b00c	TXT	TCGA-LL-A50Y-01A-11R-A25Z-13	open	7c761c25-8f9e-4c13-813b-c0575a427714.mirbase21.isoforms.quantification.txt	mirna_swap_dr11_190_MirnaExpressiona9ec07a1-1238-4c4a-aa1d-7ab82cc58032_isoform_profiling	Transcriptome Profiling	mirna_expression	293374	2018-03-20T00:55:19.269833-05:00	2b5a9cc1db7bcea8265b88ca0391026d	2018-09-06T13:49:20.245333-05:00	e262b2c5-617c-4610-9b03-eb8d0914b00c	Isoform Expression Quantification	released	miRNA-Seq	1	12.0 - 35.0	TCGA-BRCA	c73f3b6f-04a8-40fb-9e84-9eb3ec2caecb	released	mirna_swap_dr11_190_MirnaExpressionWorkflowbcee8aa4-d305-4168-9c9e-287b8a96d55d_pipeline:mirnaseq0.0.1	https://github.com/NCI-GDC/gdc-dnaseq-cwl/blob/gdc-active-submission/workflows/mirnaseq/runner.cwl	BCGSC miRNA Profiling	Primary Tumor	NA	TCGA-LL-A50Y	TCGA-LL-A50Y-01A
daabbecf-2b7b-42ef-9057-507f3ce38fb8	TXT	TCGA-OL-A5RY-01A-21R-A28I-13	open	1e74d678-a915-40ce-ad13-4b7b954f2400.mirbase21.isoforms.quantification.txt	mirna_swap_dr11_117_MirnaExpression01450c1e-c3ca-4c35-a593-617e99ee5db7_isoform_profiling	Transcriptome Profiling	mirna_expression	346812	2018-03-20T00:53:29.024823-05:00	bf054d992837b8daed5d4c99afbed31f	2018-09-06T13:49:20.245333-05:00	daabbecf-2b7b-42ef-9057-507f3ce38fb8	Isoform Expression Quantification	released	miRNA-Seq	1	12.0 - 35.0	TCGA-BRCA	227abfda-08b2-4a2a-b37d-9ad438336ab8	released	mirna_swap_dr11_117_MirnaExpressionWorkflow91f9bd23-c5d3-4db7-9623-cbc2a2d6b5ea_pipeline:mirnaseq0.0.1	https://github.com/NCI-GDC/gdc-dnaseq-cwl/blob/gdc-active-submission/workflows/mirnaseq/runner.cwl	BCGSC miRNA Profiling	Primary Tumor	NA	TCGA-OL-A5RY	TCGA-OL-A5RY-01A
97911982-e3ec-49cd-b7e3-3fd0b5e7cd43	TXT	TCGA-AR-A1AI-01A-11R-A12O-13	open	0296f7dd-e800-4959-9e09-2efddd54f60c.mirbase21.isoforms.quantification.txt	mirna_swap_dr11_1120_MirnaExpressioneb6cc937-43af-4652-bf16-7cf5436a4b8f_isoform_profiling	Transcriptome Profiling	mirna_expression	295286	2018-03-20T04:29:54.833825-05:00	17cf31bfc5bb4c618fc1e3aab6abe02b	2018-09-06T13:49:20.245333-05:00	97911982-e3ec-49cd-b7e3-3fd0b5e7cd43	Isoform Expression Quantification	released	miRNA-Seq	1	12.0 - 35.0	TCGA-BRCA	cba0ffcc-3972-4a54-867e-9cc846310946	released	mirna_swap_dr11_1120_MirnaExpressionWorkflow0f6e55fa-7853-482b-90ec-5b6ad08e7233_pipeline:mirnaseq0.0.1	https://github.com/NCI-GDC/gdc-dnaseq-cwl/blob/gdc-active-submission/workflows/mirnaseq/runner.cwl	BCGSC miRNA Profiling	Primary Tumor	NA	TCGA-AR-A1AI	TCGA-AR-A1AI-01A
e1ac970d-e50e-4480-b021-6c09a2939291	TXT	TCGA-AC-A2FO-01A-11R-A17X-13	open	7e26df57-482c-4bd6-bd8c-4ecd4dea8788.mirbase21.isoforms.quantification.txt	mirna_swap_dr11_312_MirnaExpression457b1f73-ef35-4e20-b9af-67e51c7fa481_isoform_profiling	Transcriptome Profiling	mirna_expression	309271	2018-03-20T01:05:06.069795-05:00	e745d456a5b6eff884459436d1d80c7a	2018-09-06T13:49:20.245333-05:00	e1ac970d-e50e-4480-b021-6c09a2939291	Isoform Expression Quantification	released	miRNA-Seq	1	12.0 - 35.0	TCGA-BRCA	ed819137-f7f3-4539-9d80-20bdb2b46c76	released	mirna_swap_dr11_312_MirnaExpressionWorkflow4a1dc535-a48b-40b4-9985-e6ef9e4fa48b_pipeline:mirnaseq0.0.1	https://github.com/NCI-GDC/gdc-dnaseq-cwl/blob/gdc-active-submission/workflows/mirnaseq/runner.cwl	BCGSC miRNA Profiling	Primary Tumor	NA	TCGA-AC-A2FO	TCGA-AC-A2FO-01A
e2648016-4a46-4d74-b606-e8a8417fd32f	TXT	TCGA-BH-A1FN-11A-34R-A13P-13	open	9d0fa46a-1b6f-4e71-9b94-f2c5b9428054.mirbase21.isoforms.quantification.txt	mirna_swap_dr11_430_MirnaExpression764d4581-af74-4a25-9a31-461a6202cf15_isoform_profiling	Transcriptome Profiling	mirna_expression	211797	2018-03-20T01:15:53.593653-05:00	73bff2102bd06687f994a96f16731d4c	2018-09-06T13:49:20.245333-05:00	e2648016-4a46-4d74-b606-e8a8417fd32f	Isoform Expression Quantification	released	miRNA-Seq	1	12.0 - 35.0	TCGA-BRCA	d9664ce8-3e17-4964-8e2f-7617579ce338	released	mirna_swap_dr11_430_MirnaExpressionWorkflow88e6e195-423a-43c7-930c-89e80f4061fe_pipeline:mirnaseq0.0.1	https://github.com/NCI-GDC/gdc-dnaseq-cwl/blob/gdc-active-submission/workflows/mirnaseq/runner.cwl	BCGSC miRNA Profiling	Solid Tissue Normal	NA	TCGA-BH-A1FN	TCGA-BH-A1FN-11A
